truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Mercedes-Benz S-Class,2019,Fair Price,AMG S 63 Coupe 4MATIC+,"$1,781 above avg. list price","$124,229 ","41,399 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Yaris iA,2018,Fair Price,Automatic,$178 above avg. list price,"$17,585 ","47,077 miles",,,"Blue exterior, Blue interior","No accidents, 2 Owners, Personal use"
Ford EcoSport,2018,Fair Price,SE FWD,At or near avg. list price,"$17,099 ","39,162 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan Altima,2018,High Price,2.5 S,$480 above avg. list price,"$19,388 ","46,805 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Prius,2011,Fair Price,One,$182 above avg. list price,"$12,988 ","115,569 miles",,,"Blue exterior, Gray interior","No accidents, 0 Owners, Personal use"
Honda Pilot,2019,High Price,Touring 7-Passenger FWD,"$1,163 above avg. list price","$32,299 ","41,096 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Fleet use"
Ford F-150 Lightning,2022,High Price,LARIAT SuperCrew 5.5' Box 4WD,"$9,947 above avg. list price","$109,999 ","1,500 miles",,,"Gray exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Jeep Grand Cherokee,2020,Fair Price,Limited 4WD,$397 above avg. list price,"$35,261 ","26,475 miles",,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
MINI Convertible,2014,High Price,S Convertible,$349 above avg. list price,"$15,799 ","75,620 miles",,,"Black exterior, Beige interior","2 accidents, 4 Owners, Personal use"
Chevrolet Cruze,2017,Fair Price,LT with 1SD Hatchback Automatic,At or near avg. list price,"$14,499 ","71,726 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Maserati GranTurismo,2011,Fair Price,Convertible,$370 above avg. list price,"$39,696 ","21,232 miles",,,"Black exterior, Brown interior","No accidents, 1 Owner, Personal use"
Nissan LEAF,2018,High Price,SV,"$1,127 above avg. list price","$26,204 ","27,948 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW X2,2020,Fair Price,sDrive28i,At or near avg. list price,"$30,887 ","34,376 miles",,,"Blue exterior, Black interior","No accidents, 2 Owners, Personal use"
Volkswagen Beetle,2018,Fair Price,S Convertible,$473 above avg. list price,"$31,998 ","27,585 miles",,,"Orange exterior, Black interior","No accidents, 2 Owners, Personal use"
BMW X6,2015,Great Price,xDrive35i AWD,$91 off avg. list price,"$29,599 ","64,537 miles",,,"Gray exterior, Unknown interior","2 accidents, 2 Owners, Personal use"
Nissan Sentra,2019,High Price,SR CVT,$488 above avg. list price,"$20,174 ","59,800 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Pathfinder,2018,Fair Price,S FWD,At or near avg. list price,"$16,995 ","89,355 miles",Dealer Discount Available,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
