truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Ford Fusion,2018,Fair Price,SE FWD,At or near avg. list price,"$17,899 ","63,055 miles",,,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
Hyundai Santa Fe,2020,Excellent Price,SEL 2.4L FWD (SULEV),"$1,334 off avg. list price","$22,995 ","20,761 miles",Dealer Discount Available,Certified Pre-Owned,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus RX,2019,Excellent Price,RX 350 FWD,"$1,332 off avg. list price","$30,974 ","64,665 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2020,Great Price,SE IVT (SULEV),$478 off avg. list price,"$17,495 ","43,038 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2021,Excellent Price,Sport 2.0T Automatic,"$1,049 off avg. list price","$29,962 ","17,259 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Silverado 1500,2019,Excellent Price,RST Double Cab Standard Box 2WD,"$1,419 off avg. list price","$31,964 ","56,847 miles",,,"Black exterior, Black interior","No accidents, 3 Owners, Personal use"
Mercedes-Benz C-Class,2019,Great Price,C 300 Sedan RWD,$498 off avg. list price,"$28,963 ","30,199 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Hyundai Santa Fe,2020,Excellent Price,Limited 2.0T FWD,"$1,162 off avg. list price","$28,495 ","37,570 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$425 off avg. list price,"$42,539 ","9,042 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2019,Great Price,Sport 1.5T CVT,$252 off avg. list price,"$25,896 ","33,092 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW i3,2017,Excellent Price,94 Ah with Range Extender,"$1,260 off avg. list price","$21,963 ","30,626 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$384 off avg. list price,"$42,680 ","8,292 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Santa Fe Sport,2015,Excellent Price,Base 2.4L FWD,$728 off avg. list price,"$13,995 ","74,491 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Chrysler 200,2015,Excellent Price,Limited FWD,$895 off avg. list price,"$8,769 ","110,258 miles",,,"White exterior, Black interior","1 accident, 2 Owners, Personal use"
Toyota Mirai,2019,Excellent Price,Sedan,"$2,270 off avg. list price","$16,099 ","25,401 miles",,,"Blue exterior, Blue interior","1 accident, 1 Owner, Personal use"
Hyundai Sonata,2020,Great Price,SEL,$521 off avg. list price,"$23,495 ","28,425 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2020,Great Price,SEL IVT (SULEV),$193 off avg. list price,"$18,495 ","34,870 miles",Dealer Discount Available,Certified Pre-Owned,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Equinox,2020,Excellent Price,LS with 1LS FWD,"$1,472 off avg. list price","$18,170 ","35,770 miles",Dealer Discount Available,,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
Toyota Prius,2013,Excellent Price,Two,"$1,400 off avg. list price","$13,575 ","93,392 miles",,,"White exterior, Unknown interior","No accidents, 2 Owners, Fleet use"
Toyota Camry,2012,Excellent Price,SE I4 Automatic,"$1,436 off avg. list price","$13,549 ","76,462 miles",,,"Black exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV 4MATIC,$801 off avg. list price,"$43,288 ","8,315 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Honda CR-V,2016,Excellent Price,EX FWD,$559 off avg. list price,"$18,495 ","75,625 miles",Dealer Discount Available,,"Silver exterior, Black interior","1 accident, 1 Owner, Personal use"
BMW 3 Series,2011,Excellent Price,328i Sedan SULEV,$890 off avg. list price,"$6,798 ","145,265 miles",,,"Black exterior, Black interior","No accidents, 4 Owners, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$86 off avg. list price,"$42,847 ","8,091 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2019,Excellent Price,330i Sedan RWD,"$1,098 off avg. list price","$28,500 ","43,523 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Mazda Mazda6,2017,Excellent Price,Touring Automatic,$625 off avg. list price,"$15,987 ","78,894 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Lexus ES,2012,Great Price,ES 350,$505 off avg. list price,"$18,998 ","35,701 miles",,,"Gray exterior, Gray interior","No accidents, 3 Owners, Personal use"
Tesla Model 3,2020,Great Price,Standard Range Plus RWD,$630 off avg. list price,"$41,974 ","5,805 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz E-Class,2019,Great Price,E 300 Sedan RWD,$638 off avg. list price,"$34,986 ","32,833 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Hyundai Elantra,2018,Great Price,SEL 2.0L Sedan Automatic,$336 off avg. list price,"$15,987 ","47,389 miles",,,"Red exterior, Beige interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLC,2022,Excellent Price,GLC 300 SUV RWD,"$1,630 off avg. list price","$42,893 ","7,581 miles",,Certified Pre-Owned,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2012,Excellent Price,Hybrid LE,"$1,786 off avg. list price","$10,998 ","117,840 miles",,,"Black exterior, Gray interior","No accidents, 2 Owners, Personal use"
Honda Civic,2015,Great Price,LX Sedan CVT,$119 off avg. list price,"$17,985 ","24,156 miles",,,"White exterior, Beige interior","No accidents, 2 Owners, Personal use"
Honda Accord,2020,Great Price,Sport 1.5T CVT,$647 off avg. list price,"$25,865 ","34,864 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2018,Excellent Price,Mid Range RWD,"$2,855 off avg. list price","$34,999 ","67,220 miles",,,"Black exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Nissan Rogue,2019,Great Price,SL FWD,$299 off avg. list price,"$21,896 ","65,306 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Versa,2016,Excellent Price,1.6 SV CVT,$949 off avg. list price,"$7,999 ","104,422 miles",Dealer Discount Available,,"Silver exterior, Black interior","1 accident, 3 Owners, Personal use"
Ford Explorer,2018,Excellent Price,XLT FWD,"$1,151 off avg. list price","$20,209 ","83,200 miles",,,"Black exterior, Unknown interior","No accidents, 2 Owners, Fleet use"
Toyota Camry,2014,Excellent Price,2014 SE I4 Automatic,"$1,466 off avg. list price","$12,998 ","98,044 miles",,,"Black exterior, Black interior","1 accident, 2 Owners, Fleet use"
Mazda CX-5,2018,Great Price,Touring FWD,$390 off avg. list price,"$22,964 ","33,143 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Hyundai Tucson,2020,Excellent Price,Sport FWD,$775 off avg. list price,"$23,495 ","16,132 miles",Dealer Discount Available,Certified Pre-Owned,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2020,Great Price,GLE 350 4MATIC,"$1,056 off avg. list price","$47,980 ","43,204 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2021,Great Price,GLE 350 RWD,"$1,057 off avg. list price","$53,786 ","17,998 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford F-150,2012,Excellent Price,XL SuperCab 6.5' Box 4WD,"$1,738 off avg. list price","$15,300 ","103,352 miles",,,"White exterior, Unknown interior","No accidents, 4 Owners, Fleet use"
Ford Focus,2014,Excellent Price,SE Sedan,$663 off avg. list price,"$8,800 ","80,058 miles",,,"Gray exterior, Unknown interior","No accidents, 4 Owners, Fleet use"
Lexus IS,2017,Excellent Price,IS Turbo RWD,"$1,374 off avg. list price","$24,975 ","52,038 miles",Dealer Discount Available,,"White exterior, Beige interior","No accidents, 3 Owners, Fleet use"
Jaguar XF,2012,Excellent Price,Portfolio,"$1,650 off avg. list price","$10,750 ","86,475 miles",Dealer Discount Available,,"White exterior, Beige interior","3 accidents, 5 Owners, Fleet use"
Hyundai Elantra,2015,Excellent Price,SE Sedan Automatic,$828 off avg. list price,"$13,350 ","58,178 miles",Dealer Discount Available,,"Black exterior, Gray interior","No accidents, 2 Owners, Personal use"
Volvo XC60,2020,Excellent Price,R-Design T8 Plug-In Hybrid eAWD,"$4,958 off avg. list price","$36,998 ","49,037 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2021,Excellent Price,XSE Automatic,"$1,271 off avg. list price","$28,890 ","32,612 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,"$1,046 off avg. list price","$44,900 ","8,985 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2019,Great Price,E 300 Sedan RWD,$107 off avg. list price,"$35,633 ","38,081 miles",Dealer Discount Available,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Volvo XC90,2019,Great Price,T6 Inscription AWD,$464 off avg. list price,"$39,448 ","39,350 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2020,Great Price,C 300 Sedan RWD,$391 off avg. list price,"$31,243 ","41,208 miles",Dealer Discount Available,Certified Pre-Owned,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
Land Rover Range Rover Sport,2020,Great Price,HSE Turbo i6 Mild Hybrid,"$1,032 off avg. list price","$51,895 ","59,702 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2013,Excellent Price,C 300 4MATIC Luxury Sedan,"$1,375 off avg. list price","$14,100 ","84,500 miles",,,"White exterior, Unknown interior","No accidents, 5 Owners, Personal use"
Mercedes-Benz C-Class,2021,Great Price,C 300 Sedan RWD,$228 off avg. list price,"$38,548 ","11,192 miles",Dealer Discount Available,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model Y,2022,Excellent Price,Long Range AWD,"$3,029 off avg. list price","$66,099 ",15 miles,,,"Black exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2021,Great Price,Standard Range Plus RWD,"$1,260 off avg. list price","$43,558 ","12,617 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Jaguar XF,2012,Excellent Price,with Sport Package,$699 off avg. list price,"$16,995 ","24,901 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLE,2020,Great Price,GLE 350 RWD,$275 off avg. list price,"$46,936 ","26,991 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLS,2020,Great Price,GLS 450 4MATIC,$536 off avg. list price,"$65,233 ","33,500 miles",Dealer Discount Available,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Jeep Grand Cherokee,2016,Great Price,Laredo RWD,$385 off avg. list price,"$17,495 ","71,984 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Honda Civic,2020,Excellent Price,LX Sedan CVT,"$1,360 off avg. list price","$19,998 ","40,587 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$889 off avg. list price,"$45,050 ","8,927 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,Excellent Price,GLB 250 FWD,"$1,555 off avg. list price","$41,225 ","6,484 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda Mazda3,2016,Great Price,i Sport 4-Door Automatic,$304 off avg. list price,"$15,089 ","82,256 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota Camry,2018,Excellent Price,SE I4 Automatic,"$1,362 off avg. list price","$20,950 ","48,291 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2019,Excellent Price,LE Automatic,"$1,273 off avg. list price","$19,578 ","60,035 miles",,,"Black exterior, Black interior","1 accident, 5 Owners, Personal use"
Toyota Corolla,2015,Excellent Price,LE CVT,"$1,094 off avg. list price","$11,498 ","119,000 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Hyundai Sonata,2012,Excellent Price,GLS 2.4L Automatic (PZEV),$728 off avg. list price,"$8,500 ","87,150 miles",,,"Red exterior, Brown interior","No accidents, 2 Owners, Personal use"
Honda Accord,2018,Great Price,EX-L with Navigation 1.5T CVT,$112 off avg. list price,"$27,941 ","14,061 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Nissan Frontier,2004,Excellent Price,XE Crew Cab SB V6 2WD Auto,"$1,245 off avg. list price","$6,999 ","168,423 miles",Dealer Discount Available,,"Gray exterior, Gray interior","No accidents, 4 Owners, Personal use"
Mercedes-Benz C-Class,2019,Great Price,C 300 Sedan RWD,$8 off avg. list price,"$32,416 ","17,499 miles",Dealer Discount Available,Certified Pre-Owned,"Blue exterior, Beige interior","No accidents, 1 Owner, Personal use"
Ford Explorer,2014,Excellent Price,Sport 4WD,"$1,523 off avg. list price","$21,945 ","62,117 miles",Dealer Discount Available,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
Mercedes-Benz C-Class,2018,Excellent Price,C 300 Sedan RWD,$887 off avg. list price,"$26,890 ","30,057 miles",,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2020,Great Price,E 450 Cabriolet RWD,"$1,363 off avg. list price","$61,941 ","9,649 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Silverado 1500,2018,Great Price,LT Crew Cab Short Box 2WD,$107 off avg. list price,"$35,495 ","29,897 miles",Dealer Discount Available,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2018,Great Price,330i xDrive Gran Turismo,$405 off avg. list price,"$28,896 ","30,313 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2013,Excellent Price,C 250 Sport Sedan RWD,$420 off avg. list price,"$9,350 ","148,555 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Volt,2014,Excellent Price,Hatch,$645 off avg. list price,"$9,498 ","135,493 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Fleet use"
BMW 5 Series,2019,Fair Price,530e iPerformance Plug-In Hybrid RWD,At or near avg. list price,"$33,895 ","26,770 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Volvo XC60,2017,Excellent Price,T5 AWD Inscription,"$1,171 off avg. list price","$22,963 ","55,493 miles",,,"Gray exterior, Unknown interior","No accidents, 1 Owner, Personal use"
BMW 3 Series,2019,Great Price,330i Sedan RWD,$576 off avg. list price,"$31,998 ","23,749 miles",,,"Black exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2019,Fair Price,C 300 Sedan RWD,At or near avg. list price,"$31,945 ","21,564 miles",Dealer Discount Available,Certified Pre-Owned,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
Hyundai Elantra,2020,Fair Price,SEL 2.0L IVT,At or near avg. list price,"$17,995 ","60,235 miles",Dealer Discount Available,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
INFINITI QX60,2019,Great Price,2019.5 LUXE FWD,$261 off avg. list price,"$28,963 ","30,402 miles",,Certified Pre-Owned,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Hyundai Sonata,2019,Great Price,SEL 2.4L,$100 off avg. list price,"$20,995 ","23,560 miles",Dealer Discount Available,Certified Pre-Owned,"Silver exterior, Gray interior","No accidents, 1 Owner, Personal use"
Ford Fiesta,2016,Excellent Price,SE Sedan,"$1,074 off avg. list price","$7,998 ","73,740 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Prius,2016,Great Price,Two,$239 off avg. list price,"$23,897 ","44,703 miles",,,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$588 off avg. list price,"$43,894 ","11,713 miles",,Certified Pre-Owned,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLA,2019,Excellent Price,GLA 250 4MATIC,"$1,237 off avg. list price","$26,890 ","35,374 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Chrysler 200,2014,Excellent Price,Limited Sedan,"$1,053 off avg. list price","$6,998 ","116,095 miles",,,"Black exterior, Black interior","1 accident, 3 Owners, Fleet use"
Tesla Model Y,2021,Great Price,Long Range AWD,$676 off avg. list price,"$56,550 ","27,047 miles",,,"White exterior, White interior","No accidents, 1 Owner, Personal use"
Mazda CX-5,2016,Great Price,2016.5 Grand Touring FWD Automatic,$350 off avg. list price,"$18,216 ","78,986 miles",,,"Silver exterior, Black interior","1 accident, 2 Owners, Personal use"
Honda Fit,2019,Excellent Price,EX CVT,"$1,154 off avg. list price","$13,490 ","159,980 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Fleet use"
Chevrolet Malibu,2020,Excellent Price,LT,$690 off avg. list price,"$19,159 ","49,067 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Fleet use"
Toyota Prius,2013,Excellent Price,Four,$785 off avg. list price,"$17,450 ","85,966 miles",Dealer Discount Available,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
BMW X5,2015,Excellent Price,xDrive50i AWD,"$1,983 off avg. list price","$24,500 ","58,000 miles",,,"White exterior, Unknown interior","No accidents, 3 Owners, Personal use"
Hyundai Elantra,2013,Excellent Price,GLS Sedan Automatic,$552 off avg. list price,"$10,250 ","73,379 miles",,,"White exterior, Beige interior","No accidents, 2 Owners, Personal use"
Nissan Rogue,2020,Excellent Price,SL FWD,$774 off avg. list price,"$25,784 ","20,402 miles",Dealer Discount Available,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Honda Civic,2015,Great Price,EX-L Sedan CVT,$105 off avg. list price,"$15,987 ","92,473 miles",,,"Gray exterior, Black interior","No accidents, 3 Owners, Personal use"
Chevrolet Tahoe,2020,Great Price,Premier 4WD,$446 off avg. list price,"$54,987 ","22,660 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Sentra,2019,Great Price,S CVT,$425 off avg. list price,"$16,998 ","56,935 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Land Rover Range Rover Evoque,2020,Excellent Price,P250 S,"$2,660 off avg. list price","$36,941 ","13,207 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz A-Class,2019,Excellent Price,A 220 FWD,"$1,329 off avg. list price","$28,891 ","24,014 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLA,2019,Excellent Price,GLA 250 4MATIC,"$1,156 off avg. list price","$26,890 ","37,567 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Mazda CX-9,2021,Great Price,Grand Touring FWD,$351 off avg. list price,"$34,380 ","27,275 miles",,Certified Pre-Owned,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2022,Excellent Price,E 350 Sedan RWD,"$3,449 off avg. list price","$53,892 ","1,407 miles",,,"Black exterior, Black interior","No accidents, 0 Owners, Personal use"
Acura MDX,2013,Great Price,with Technology Package,$339 off avg. list price,"$15,392 ","96,470 miles",,,"White exterior, Beige interior","No accidents, 2 Owners, Personal use"
Chevrolet Volt,2018,Great Price,LT,$525 off avg. list price,"$23,650 ","51,594 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Honda Civic,2011,Excellent Price,LX Sedan Automatic,$654 off avg. list price,"$5,998 ","188,584 miles",,,"Black exterior, Gray interior","2 accidents, 3 Owners, Personal use"
Mazda Mazda3,2016,Great Price,i Touring 5-Door Automatic,$297 off avg. list price,"$17,987 ","46,358 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
GMC Acadia,2021,Great Price,SLT FWD,$248 off avg. list price,"$29,987 ","38,687 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
BMW X1,2015,Excellent Price,sDrive28i RWD,"$1,112 off avg. list price","$10,498 ","109,452 miles",,,"White exterior, Beige interior","1 accident, 3 Owners, Personal use"
Mercedes-Benz C-Class,2020,Great Price,C 300 Sedan RWD,$39 off avg. list price,"$35,675 ","12,483 miles",Dealer Discount Available,Certified Pre-Owned,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model 3,2018,Excellent Price,Long Range Dual Motor,"$1,927 off avg. list price","$44,444 ","17,210 miles",,,"White exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Jeep Patriot,2015,Excellent Price,Sport FWD,"$1,019 off avg. list price","$9,298 ","92,817 miles",,,"Red exterior, Gray interior","No accidents, 3 Owners, Personal use"
Jeep Grand Cherokee,2017,Excellent Price,Limited RWD,"$1,196 off avg. list price","$25,998 ","46,701 miles",,,"Black exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda MX-30 EV,2022,Great Price,Premium Plus,$631 off avg. list price,"$31,980 ","14,240 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford F-150,2015,Excellent Price,Platinum SuperCrew 5.5' Box 4WD,"$4,769 off avg. list price","$36,988 ","51,410 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota Corolla,2018,Excellent Price,LE CVT,$945 off avg. list price,"$17,174 ","67,164 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota Prius,2010,Great Price,Two,$285 off avg. list price,"$9,997 ","156,884 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Personal use"
Chevrolet Traverse,2020,Excellent Price,RS FWD,"$1,246 off avg. list price","$32,785 ","47,291 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
BMW 5 Series,2019,Excellent Price,530i RWD,"$1,482 off avg. list price","$32,998 ","37,710 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Volkswagen Jetta,2020,Great Price,SE Automatic,$432 off avg. list price,"$21,610 ","31,333 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Tesla Model 3,2019,Excellent Price,Long Range Dual Motor,"$1,898 off avg. list price","$43,995 ","27,960 miles",,,"Silver exterior, Unknown interior","No accidents, 1 Owner, Personal use"
BMW 4 Series,2018,Excellent Price,430i Convertible RWD,"$1,298 off avg. list price","$21,998 ","100,850 miles",,,"White exterior, Black interior","No accidents, 3 Owners, Personal use"
Kia Optima,2016,Great Price,Hybrid Base,$98 off avg. list price,"$13,897 ","91,193 miles",,,"Black exterior, Beige interior","1 accident, 1 Owner, Personal use"
Jeep Wrangler,2020,Fair Price,Unlimited Sahara,At or near avg. list price,"$37,984 ","44,608 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
BMW X3,2018,Excellent Price,xDrive30i,"$1,086 off avg. list price","$28,350 ","45,323 miles",,,"White exterior, Black interior","2 accidents, 1 Owner, Personal use"
Jeep Wrangler,2016,Excellent Price,Unlimited Sport,"$1,126 off avg. list price","$21,950 ","85,319 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota Prius,2016,Excellent Price,Two,$920 off avg. list price,"$22,998 ","46,161 miles",,,"White exterior, Black interior","No accidents, 3 Owners, Personal use"
Chevrolet Colorado,2016,Excellent Price,Z71 Crew Cab Short Box 4WD Automatic,"$1,134 off avg. list price","$26,730 ","64,652 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 3 Owners, Personal use"
Ford Taurus,2012,Excellent Price,SEL FWD,$544 off avg. list price,"$4,844 ","192,332 miles",,,"Silver exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLB,2022,Great Price,GLB 250 FWD,"$1,126 off avg. list price","$42,255 ","3,912 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mazda Mazda3,2021,Great Price,Select 4-Door FWD,$552 off avg. list price,"$19,697 ","72,771 miles",,Certified Pre-Owned,"Blue exterior, Black interior","1 accident, 1 Owner, Personal use"
Chevrolet Cruze,2015,Excellent Price,ECO Automatic,$427 off avg. list price,"$6,995 ","162,719 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz E-Class,2016,Great Price,E 350 Sport Sedan RWD,$680 off avg. list price,"$24,288 ","59,836 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz GLS,2020,Great Price,GLS 450 4MATIC,$118 off avg. list price,"$67,280 ","27,167 miles",Dealer Discount Available,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2019,Excellent Price,SE CVT,"$1,161 off avg. list price","$14,699 ","106,878 miles",,,"Silver exterior, Black interior","1 accident, 2 Owners, Fleet use"
Chevrolet Malibu,2015,Excellent Price,LS with 1LS,$673 off avg. list price,"$7,498 ","122,004 miles",,,"Black exterior, Black interior","2 accidents, 2 Owners, Personal use"
BMW 3 Series,2011,Excellent Price,328i Sedan,$308 off avg. list price,"$7,695 ","134,849 miles",,,"Silver exterior, Black interior","No accidents, 4 Owners, Personal use"
Kia Soul,2013,Great Price,#NAME?,$79 off avg. list price,"$10,495 ","94,018 miles",Dealer Discount Available,,"Silver exterior, Black interior","1 accident, 1 Owner, Personal use"
Mercedes-Benz GLB,2022,Great Price,GLB 250 FWD,"$1,071 off avg. list price","$42,405 ","5,216 miles",,,"Gray exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Great Price,GLC 300 SUV RWD,$459 off avg. list price,"$46,000 ","9,051 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Personal use"
Lexus UX,2021,Great Price,UX 250h AWD,$620 off avg. list price,"$36,988 ","6,488 miles",Dealer Discount Available,,"Black exterior, Beige interior","No accidents, 1 Owner, Personal use"
Honda Accord,2018,Excellent Price,LX 1.5T CVT,$689 off avg. list price,"$20,893 ","58,512 miles",,,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
Toyota Tacoma,2016,Excellent Price,TRD Sport Double Cab 5' Bed V6 RWD Automatic,$998 off avg. list price,"$26,250 ","105,483 miles",Dealer Discount Available,,"Gray exterior, Gray interior","1 accident, 1 Owner, Personal use"
Chevrolet Tahoe,2007,Excellent Price,LS RWD,$808 off avg. list price,"$8,497 ","178,608 miles",,,"Black exterior, Black interior","1 accident, 3 Owners, Personal use"
